chief_complaint,final_predicted_icd_code,reasoning_icd_code,confidence_category,reasoning_confidence
upper respiratory infection,J06.9,"The clinical text directly states ""Upper respiratory infection"" without further specification, making J06.9 the most accurate and appropriate code.",Very High,I am very confident because the code directly matches the clinical context.
depression,F32.9,"Without further information to suggest recurrence, the single episode code is the most appropriate.",Medium,"I am moderately confident because the clinical text only states ""depression"" without specifying whether it is a single episode or recurrent, making F32.9 the best choice but leaving some uncertainty."
diabetes type 2,E11.9,"The clinical text directly states ""Diabetes type 2,"" and the candidate code E11.9, ""Type 2 diabetes mellitus without complications,"" is the most accurate and complete representation of the diagnosis in the absence of any mention of complications.",Very High,"I am very confident because the clinical text explicitly states ""Diabetes type 2"" and the code E11.9 directly matches this diagnosis without any mention of complications."
hypertension,I10,"In the absence of additional information, I10, ""Essential (primary) hypertension,"" is the most appropriate code for a diagnosis of hypertension.",Very High,"I am very confident because the clinical text explicitly states ""Hypertension,"" and I10 directly corresponds to essential (primary) hypertension, which is the default code when the type of hypertension is not specified."
rheumatoid arthritis,M06.9,"The clinical text directly states ""Rheumatoid arthritis,"" making M06.9 the most accurate and specific code.",Very High,"I am very confident because the clinical text explicitly states the diagnosis of rheumatoid arthritis, which is directly represented by the code M06.9."
atrial fibrillation,I48.91,"The clinical text directly states ""Atrial fibrillation,"" and I48.91, ""Unspecified atrial fibrillation,"" is the most appropriate code.",Very High,"I am very confident because the clinical text explicitly states ""Atrial fibrillation,"" which directly corresponds to the code I48.91, ""Unspecified atrial fibrillation."""
gerd,K21.9,"The clinical text directly states ""GERD,"" and K21.9 accurately represents gastro-esophageal reflux disease without esophagitis, which is the most appropriate code in the absence of further specification.",High,"I am highly confident because the clinical text explicitly states ""GERD,"" and the code K21.9 directly corresponds to gastro-esophageal reflux disease without esophagitis, making it the most accurate choice."
hyperglycemia,R73.9,"In the absence of further information or a confirmed diagnosis of diabetes, the most appropriate code is R73.9, which directly addresses the stated hyperglycemia.",High,"I am confident because the clinical text explicitly states ""hyperglycemia"" and there is no additional information to suggest a specific type of diabetes or long-term insulin use."
history of renal transplant,Z94.0,"Rule #2 (Best Semantic Match): Z94.0, ""Kidney transplant status,"" accurately reflects the patient's condition as ""status post renal transplant,"" indicating the patient has undergone a kidney transplant and is in a post-transplant state, without any specified complications.",Very High,"I am very confident because the clinical text explicitly states ""status post renal transplant,"" which directly corresponds to the ICD-10 code Z94.0, ""Kidney transplant status."""
osteoporosis,M81.0,"The clinical text directly states ""Osteoporosis,"" and M81.0 is the most appropriate code for age-related osteoporosis without a current pathological fracture, which is the default assumption in the absence of further information.",High,"I am highly confident because the clinical text explicitly states ""Osteoporosis,"" and M81.0 is the most direct and appropriate code in the absence of additional information about fractures."
multiple sclerosis,G35,"The clinical text directly states ""Multiple Sclerosis,"" making G35 the most accurate and specific code.",Very High,"I am very confident because the clinical text explicitly states the diagnosis of multiple sclerosis, which is directly represented by the code G35."
right knee arthritis,M17.11,"The clinical text specifies ""right knee arthritis,"" which directly corresponds to unilateral osteoarthritis of the right knee.",Very High,"I am very confident because the clinical text explicitly states ""right knee arthritis,"" which is accurately represented by the code M17.11 (Unilateral primary osteoarthritis, right knee)."
right wrist sprain,S63.501,"S63.501 is the best code because it directly describes an unspecified sprain of the right wrist, which aligns with the clinical text.",Very High,I am very confident because the code directly matches the clinical context.
psoriatic arthritis,L40.50,"L40.50 is the most appropriate code as it directly describes arthropathic psoriasis, which is synonymous with psoriatic arthritis, and L40.59 is a less specific ""other"" code.",High,"I am highly confident because L40.50 directly describes arthropathic psoriasis, which is the same as psoriatic arthritis, and is more specific than L40.59."
cardiac murmur,R01.1,"In the absence of further information about the etiology or nature of the cardiac murmur, the code that directly describes the finding is the most appropriate choice.",High,"I am confident because the clinical text simply states ""cardiac murmur"" without any additional details, making R01.1 the most accurate and specific code."
premature ventricular contractions (pvcs),I49.3,"The code I49.3, ""Ventricular premature depolarization,"" directly and accurately describes the condition of premature ventricular contractions (PVCs).",Very High,"I am very confident because the code I49.3 directly and unambiguously matches the clinical term ""PVCs"" (premature ventricular contractions), leaving no room for interpretation."
hypertension,I10,"In the absence of additional information, I10, ""Essential (primary) hypertension,"" is the most appropriate code for a diagnosis of hypertension.",Very High,"I am very confident because the clinical text explicitly states ""Hypertension,"" and I10 directly corresponds to essential (primary) hypertension, which is the default classification when the type is not specified."
hyperlipidemia,E78.5,"The clinical text directly states ""Hyperlipidemia,"" making E78.5 the most accurate and specific code.",Very High,"I am very confident because the clinical text explicitly states ""Hyperlipidemia"" and the code E78.5 directly matches this diagnosis."
hypothyroidism,E03.9,"The clinical text directly states ""Hypothyroidism,"" and E03.9 is the code for ""Hypothyroidism, unspecified,"" making it the most accurate choice.",Very High,"I am very confident because the clinical text explicitly states ""Hypothyroidism"" and the code E03.9 directly matches this diagnosis."
lightheadedness/dizziness,R42,"The clinical text directly describes ""lightheadedness/dizziness,"" which is accurately represented by the code R42, ""Dizziness and giddiness.""",Very High,"I am very confident because the clinical text explicitly states ""lightheadedness/dizziness,"" and the code R42 directly matches this description."
allergic asthma,J45.909,"Since the clinical text specifies ""allergic asthma"" and the candidate code only describes ""unspecified asthma, uncomplicated,"" there is no code that captures the allergic component, making J45.909 the closest available option despite not being a perfect match.",Low,"I am not confident because the code does not specify the allergic nature of the asthma, which is a key component of the clinical text, but it is the only option provided."
low back sprain,S33.5,"S33.5 is the most accurate code because it specifically describes a sprain of the ligaments of the lumbar spine, which aligns with the clinical text of ""low back sprain.""",High,"I am confident because the clinical text explicitly describes a ""low back sprain,"" and S33.5 directly matches the description of a sprain of the ligaments of the lumbar spine."
diabetic foot ulcer,E11.621,"Given the information available, the best code is E11.621 because the patient has a diabetic foot ulcer and the type of diabetes is not specified, but type 2 is more common.",Medium,"I am moderately confident because the clinical text indicates a diabetic foot ulcer, but the specific type of diabetes is not explicitly stated, making E11.621 the most likely option."
left ankle pain,M25.572,"The clinical text describes left ankle pain, and M25.572 is the most accurate code as it directly corresponds to pain in the left ankle and joints of the left foot.",Very High,"I am very confident because the clinical text explicitly states ""left ankle pain,"" and the code M25.572 directly matches this description."
diabetes type 2,E11.9,"The clinical text directly states ""Diabetes type 2,"" and the candidate code E11.9, ""Type 2 diabetes mellitus without complications,"" is the most accurate and complete representation of the diagnosis in the absence of any mention of complications.",Very High,"I am very confident because the clinical text explicitly states ""Diabetes type 2"" and the code E11.9 directly matches this diagnosis without any mention of complications."
hypertension,I10,"In the absence of additional information, I10, ""Essential (primary) hypertension,"" is the most appropriate code for a diagnosis of hypertension.",Very High,"I am very confident because the clinical text explicitly states ""Hypertension,"" and I10 directly corresponds to essential (primary) hypertension, which is the default code when the type of hypertension is not specified."
right foot diabetic ulcer,E11.621,"Given the lack of information specifying the type of diabetes, and that the ulcer is specified as diabetic, the best code is E11.621, assuming the patient has type 2 diabetes, as it is the most common form.",Low,"I am less confident because the type of diabetes is not specified in the clinical text, and E11.621 assumes type 2 diabetes; without confirmation, this is an assumption."
diabetes,E11.9,"Without further information specifying the type or cause of diabetes, the most appropriate code is E11.9, representing type 2 diabetes mellitus without complications, as type 2 is the most common form and the absence of specified complications suggests this default.",Medium,"I am moderately confident because while ""diabetes"" is documented, the type and presence of complications are not specified, making E11.9 the most likely default but introducing some uncertainty."
right knee pain,M25.561,"In the absence of further information such as chronicity or internal derangement, the most accurate code is M25.561, which directly describes pain in the right knee.",High,"I am confident because the clinical text explicitly describes ""right knee pain"" and there is no additional diagnostic information to suggest an underlying condition. The code M25.561 directly matches the clinical presentation."
lateral ligament strain,S83.429,"The code S83.429 most accurately describes the condition of a sprain of the lateral collateral ligament of the knee, as the clinical text indicates a lateral ligament strain without specifying laterality.",High,"I am confident because the clinical text directly mentions a lateral ligament strain, and S83.429 is the most appropriate code for a sprain of the lateral collateral ligament of the unspecified knee."
hypertension,I10,"In the absence of additional information, I10, ""Essential (primary) hypertension,"" is the most appropriate code for a diagnosis of hypertension.",Very High,"I am very confident because the clinical text explicitly states ""Hypertension,"" and I10 directly corresponds to essential (primary) hypertension, which is the default classification when the type is not specified."
diabetes type 2,E11.9,"The clinical text directly states ""Diabetes type 2,"" and the candidate code E11.9, ""Type 2 diabetes mellitus without complications,"" is the most accurate and complete representation of the diagnosis in the absence of any mention of complications.",Very High,"I am very confident because the clinical text explicitly states ""Diabetes type 2"" and the code E11.9 directly matches this diagnosis without any mention of complications."
acute disc herniation,M51.16,"The clinical text describes an acute disc herniation at L4-5 with nerve root impingement, which is best represented by the code for intervertebral disc disorders with radiculopathy in the lumbar region.",Very High,"I am very confident because the clinical text explicitly states ""acute disc herniation at L4-5 with nerve root impingement,"" which directly corresponds to the description of M51.16 (""Intervertebral disc disorders with radiculopathy, lumbar region"")."
hepatitis c,B19.2,"Without further information specifying acute or chronic hepatitis C, the unspecified code is the most appropriate.",Medium,"I am moderately confident because the clinical text only states ""Hepatitis C"" without specifying whether it is acute or chronic, making B19.2 the best choice, but more information would increase confidence."
headaches,R51,"In the absence of additional information, the code R51, ""Headache,"" is the most appropriate choice for the chief complaint of ""headaches.""",Very High,"I am very confident because the clinical text provides only the term ""headaches,"" and R51 directly matches this complaint."
